v3;v28;v30;v31;v32;v33;v34;v35;v37;v135;v178;v179;v181;v182;v183;v184;v185;v186;v187;v188;v189;v190;v191;v197;v198;v199;v200;v201;v202;v210;v214;v216;v218;edad;añonac;v89;v90;TIPORELI;order;moresay;prices;speech;maneras;indep;trduro;respon;imag;toleran;ahorro;determi;ferelig;noego;obedien;intpoli;menosdin;INDIV;AUTOEXPR;STATUSR;v123
484;3;3;3;3;3;3;3;3;3;2;1;7;2;1;#¡NULO!;1;2;2;2;2;5;2;1;1;6;6;#¡NULO!;1;98;2;33;15;33.00;1.948;1;3;4.00;0.00;0.00;1.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;2.00;0.60948;0.07003;0.45;3
485;3;3;3;3;3;3;1;1;1;2;1;6;2;1;1;2;2;2;2;2;4;#¡NULO!;8;10;8;10;5;1;98;1;32;15;32.00;1.949;1;1;2.00;0.00;1.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;1.07424;1.54552;1.14;8
486;3;3;3;3;3;3;3;1;2;#¡NULO!;1;4;2;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;4;2;2;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;2;98;1;72;14;72.00;1.909;5;6;2.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;0.25174;-0.45369;-1.65;#¡NULO!
487;3;3;3;3;3;3;3;3;4;2;8;1;1;1;1;2;1;2;1;1;10;1;1;5;1;1;1;1;98;2;67;14;67.00;1.914;5;6;2.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;3.00;-0.93053;-0.22854;-1.87;#¡NULO!
488;3;3;3;3;3;3;3;2;2;#¡NULO!;1;2;1;1;1;1;1;1;1;1;8;1;1;1;1;1;1;1;98;2;50;12;50.00;1.931;1;2;1.00;0.00;0.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;2.00;3.00;0.13509;-0.84796;-1.27;#¡NULO!
489;3;3;3;3;3;3;3;3;1;2;1;5;1;1;1;1;1;1;1;1;8;1;1;1;2;1;1;5;98;2;45;12;45.00;1.936;1;2;2.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.82057;0.90480;-1.37;#¡NULO!
490;3;3;3;3;3;3;3;2;1;2;1;4;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;77;1;26;13;26.00;1.955;1;#¡NULO!;2.00;0.00;2.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;3.00;3.00;1.07610;0.68806;-1.65;5
491;3;3;3;3;3;3;3;2;3;2;1;4;1;1;2;1;2;2;2;2;7;1;1;1;1;7;1;1;98;2;34;12;34.00;1.947;1;2;3.00;2.00;1.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.82057;0.90480;-0.90;7
492;3;3;3;3;3;3;3;2;2;2;1;3;1;1;1;1;1;1;1;1;8;1;1;1;1;3;1;1;98;2;60;12;60.00;1.921;1;3;2.00;2.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;3.00;-1.10546;1.35149;0.19;6
493;3;3;3;3;3;3;3;3;1;2;1;2;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;98;1;65;12;65.00;1.916;1;2;1.00;2.00;1.00;0.00;0.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;-0.06679;0.80156;-1.30;#¡NULO!
494;3;3;3;3;3;3;3;3;2;2;1;3;1;1;1;1;1;1;1;1;8;1;1;1;1;8;1;1;98;2;34;12;34.00;1.947;1;2;2.00;1.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;2.00;3.00;1.22058;0.03685;-1.63;5
495;3;3;3;3;3;3;3;3;1;1;1;3;1;1;1;1;#¡NULO!;#¡NULO!;#¡NULO!;#¡NULO!;8;1;1;1;1;1;1;1;98;1;55;12;55.00;1.926;1;4;2.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;2.00;3.00;0.13585;-0.75613;-1.49;#¡NULO!
