NENTREVI;TIPORELI;prelig;impdio;configle;misa;dios;vidadesp;infierno;pecado;homosex;prostit;aborto;divorcio;eutana;suicid;INDIVIDU;Material;postmat;ideolog;ideolor;SEXO;ecivil;edad;estudi;ocupac;clase
615;1.00;1;4;1;1;1.00;2.00;2.00;2.00;99;99;1;3;1;3;-0.84788;0.47136;1;4;1.00;1;1;38.00;21;2;1
621;2.00;1;7;3;1;1.00;1.00;2.00;2.00;1;3;4;5;2;2;-0.71576;-0.11154;2;4;1.00;2;1;49.00;17;5;3
623;3.00;1;5;3;2;1.00;2.00;2.00;2.00;2;2;3;7;10;3;0.32023;-0.51288;2;4;1.00;2;5;39.00;21;7;4
625;3.00;1;5;4;2;1.00;2.00;2.00;2.00;5;5;3;3;1;4;-0.15379;0.99779;1;7;3.00;1;6;25.00;21;2;2
627;2.00;1;6;3;1;1.00;1.00;2.00;2.00;4;2;3;4;2;1;1.38546;0.80379;2;7;3.00;2;1;24.00;16;99;3
630;4.00;2;7;3;3;1.00;1.00;2.00;1.00;4;1;2;1;2;1;1.12107;3.51743;1;3;1.00;1;1;58.00;12;10;3
632;4.00;2;3;3;2;1.00;2.00;2.00;2.00;1;1;2;4;1;1;2.22856;-1.01645;3;4;1.00;2;1;34.00;21;4;1
649;2.00;99;3;2;3;1.00;2.00;2.00;1.00;1;1;1;2;1;1;-0.46915;0.25272;1;8;3.00;1;1;55.00;18;4;2
651;1.00;1;8;1;1;1.00;1.00;1.00;1.00;2;1;1;1;2;3;-0.91087;-0.17263;9;9;3.00;2;5;67.00;12;99;4
656;1.00;1;8;1;1;1.00;1.00;1.00;1.00;3;1;1;3;1;1;-0.55629;-0.27701;2;10;3.00;1;6;22.00;21;99;1
658;4.00;3;1;4;3;2.00;2.00;2.00;2.00;1;1;2;6;1;2;0.95576;-0.59903;2;99;4.00;1;1;35.00;16;9;4
659;4.00;2;6;3;1;1.00;1.00;2.00;1.00;5;6;5;5;1;2;0.04548;1.42290;1;5;2.00;2;6;19.00;21;99;1
661;4.00;2;5;4;3;1.00;2.00;2.00;2.00;1;1;1;1;1;9;2.24934;-0.47347;3;5;2.00;1;6;24.00;20;4;2
